,BUS,REAL_POWER_SETPOINT_MW,REACTIVE_POWER_SETPOINT_MVAR,MAX_REACTIVE_POWER_DISPATCH_MVAR,MIN_REACTIVE_POWER_DISPATCH_MVAR,VOLTAGE_MAGNITUDE_SETPOINT,MVA_BASE,UNIT_STATUS,MAX_REAL_POWER_OUTPUT_MW,MIN_REAL_POWER_OUTPUT_MW,RAMP_RATE_AGC_MWPERMIN,RAMP_RATE_10_MWPERMIN,RAMP_RATE_30_MWPERMIN,RAMP_RATE_REACTIVEPOWER_MVARPERMIN,AREA_PARTICIPATION_FACTOR,GEN_NAME,GEN_TYPE,FUEL_TYPE,TIMESERIES_PARAMETERS,Unit,GEN_ID,Fuel,MinDown,MinUp,HotStart,ColdStart,WarmStart,RampRate,Outage,MTTF,MTTR,ScheduledMaintenance,MinGen
0,101,10,0.0,10,0,1.035,100,1,20,8,3.0,3.0,3.0,3.0,0.0,,CT,Oil,,U20,1,Oil/CT,1.0,1.0,0.0,0.0,1.0,3.0,0.1,450.0,50.0,2.0,8.0
1,101,10,0.0,10,0,1.035,100,1,20,8,3.0,3.0,3.0,3.0,0.0,,CT,Oil,,U20,2,Oil/CT,1.0,1.0,0.0,0.0,1.0,3.0,0.1,450.0,50.0,2.0,8.0
2,102,10,0.0,10,0,1.035,100,1,20,8,3.0,3.0,3.0,3.0,0.0,,CT,Oil,,U20,5,Oil/CT,1.0,1.0,0.0,0.0,1.0,3.0,0.1,450.0,50.0,2.0,8.0
3,102,10,0.0,10,0,1.035,100,1,20,8,3.0,3.0,3.0,3.0,0.0,,CT,Oil,,U20,6,Oil/CT,1.0,1.0,0.0,0.0,1.0,3.0,0.1,450.0,50.0,2.0,8.0
4,201,10,0.0,10,0,1.035,100,1,20,8,3.0,3.0,3.0,3.0,0.0,,CT,Oil,,U20,32,Oil/CT,1.0,1.0,0.0,0.0,1.0,3.0,0.1,450.0,50.0,2.0,8.0
5,201,10,0.0,10,0,1.035,100,1,20,8,3.0,3.0,3.0,3.0,0.0,,CT,Oil,,U20,33,Oil/CT,1.0,1.0,0.0,0.0,1.0,3.0,0.1,450.0,50.0,2.0,8.0
6,201,50,-4.96,16,-10,1.05,100,1,50,0,0.0,0.0,0.0,0.0,0.0,,CT,Oil,,U20,35,Oil/CT,1.0,1.0,0.0,0.0,1.0,3.0,0.1,450.0,50.0,2.0,8.0
7,202,10,0.0,10,0,1.035,100,1,20,8,3.0,3.0,3.0,3.0,0.0,,CT,Oil,,U20,36,Oil/CT,1.0,1.0,0.0,0.0,1.0,3.0,0.1,450.0,50.0,2.0,8.0
8,301,10,0.0,10,0,1.035,100,1,20,8,3.0,3.0,3.0,3.0,0.0,,CT,Oil,,U20,66,Oil/CT,1.0,1.0,0.0,0.0,1.0,3.0,0.1,450.0,50.0,2.0,8.0
9,301,10,0.0,10,0,1.035,100,1,20,8,3.0,3.0,3.0,3.0,0.0,,CT,Oil,,U20,67,Oil/CT,1.0,1.0,0.0,0.0,1.0,3.0,0.1,450.0,50.0,2.0,8.0
